source_filename,function_name,function_signature,loc_suggestion
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setSentimentLabels,static void setSentimentLabels(edu.stanford.nlp.trees.Tree) ,"(64, 65)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setSentimentLabels,static void setSentimentLabels(edu.stanford.nlp.trees.Tree) ,"(61, 65)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setSentimentLabels,static void setSentimentLabels(edu.stanford.nlp.trees.Tree) ,"(60, 65)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setSentimentLabels,static void setSentimentLabels(edu.stanford.nlp.trees.Tree) ,"(56, 58)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setSentimentLabels,static void setSentimentLabels(edu.stanford.nlp.trees.Tree) ,"(56, 63)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setIndexLabels,"static int setIndexLabels(edu.stanford.nlp.trees.Tree, int) ","(79, 82)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setIndexLabels,"static int setIndexLabels(edu.stanford.nlp.trees.Tree, int) ","(79, 81)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setIndexLabels,"static int setIndexLabels(edu.stanford.nlp.trees.Tree, int) ","(78, 82)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setIndexLabels,"static int setIndexLabels(edu.stanford.nlp.trees.Tree, int) ","(78, 81)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,setIndexLabels,"static int setIndexLabels(edu.stanford.nlp.trees.Tree, int) ","(77, 78)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeVectors,"static int outputTreeVectors(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(94, 100)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeVectors,"static int outputTreeVectors(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(94, 99)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeVectors,"static int outputTreeVectors(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(95, 99)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeVectors,"static int outputTreeVectors(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(95, 98)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeVectors,"static int outputTreeVectors(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(96, 99)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeScores,"static int outputTreeScores(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(116, 122)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeScores,"static int outputTreeScores(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(116, 121)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeScores,"static int outputTreeScores(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(117, 121)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeScores,"static int outputTreeScores(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(117, 120)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTreeScores,"static int outputTreeScores(java.io.PrintStream, edu.stanford.nlp.trees.Tree, int) ","(118, 121)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTree,"static void outputTree(java.io.PrintStream, edu.stanford.nlp.trees.Tree, List<edu.stanford.nlp.sentiment.SentimentPipeline.Output>) ","(134, 162)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTree,"static void outputTree(java.io.PrintStream, edu.stanford.nlp.trees.Tree, List<edu.stanford.nlp.sentiment.SentimentPipeline.Output>) ","(149, 150)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTree,"static void outputTree(java.io.PrintStream, edu.stanford.nlp.trees.Tree, List<edu.stanford.nlp.sentiment.SentimentPipeline.Output>) ","(136, 138)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTree,"static void outputTree(java.io.PrintStream, edu.stanford.nlp.trees.Tree, List<edu.stanford.nlp.sentiment.SentimentPipeline.Output>) ","(142, 145)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,outputTree,"static void outputTree(java.io.PrintStream, edu.stanford.nlp.trees.Tree, List<edu.stanford.nlp.sentiment.SentimentPipeline.Output>) ","(142, 144)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,help,public static void help() ,"(172, 173)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,help,public static void help() ,"(171, 173)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,help,public static void help() ,"(171, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,help,public static void help() ,"(170, 173)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,help,public static void help() ,"(170, 172)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,main,public static void main(java.lang.String[]) throws java.io.IOException,"(227, 236)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,main,public static void main(java.lang.String[]) throws java.io.IOException,"(227, 240)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,main,public static void main(java.lang.String[]) throws java.io.IOException,"(223, 240)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,main,public static void main(java.lang.String[]) throws java.io.IOException,"(223, 236)"
../projects/CoreNLP/src/edu/stanford/nlp/sentiment/SentimentPipeline.java,main,public static void main(java.lang.String[]) throws java.io.IOException,"(220, 240)"
